full-name,short-name,lon,lat
Deinum,dei,3.5320406042204633,48.49804271533068
Didam,did,3.5750860912395765,48.373420084143284
Dalfsen,dl,3.583801134384789,48.430127051315786
Den Dolder,dld,3.4918032026441477,48.392463766495574
Dalen,dln,3.6282018203827358,48.45091769763933
Diemen,dmn,3.4658580600506568,48.41263493497253
Diemen Zuid,dmnz,3.464877902859681,48.41110841789174
Driemanspolder,dmp,3.4215534666199283,48.38242615037914
Deurne,dn,3.545333972275876,48.3250666614697
Drunen (NS-bus),dnw,3.313542365310774,47.97476748339615
Dieren,dr,3.571822773202207,48.384464589350316
Driehuis,drh,3.435467881768375,48.422038349938184
Dronten,dron,3.5343289821674944,48.432616267672266
Dronryp,drp,3.5236509218780876,48.49678006655313
Delft,dt,3.410337959434492,48.378157624779924
Doetinchem,dtc,3.590128303925684,48.37628680792926
Doetinchem De Huet,dtch,3.586757325668592,48.376259512595055
Delft Zuid,dtz,3.411115313890912,48.37658981554505
Deventer,dv,3.576035064617735,48.40580243534653
Deventer Colmschate,dvc,3.581088655640058,48.40526415855331
Duivendrecht,dvd,3.4630969069672908,48.410394837542626
Duiven,dvn,3.564120894285677,48.3741583051821
De Vink,dvnk,3.4192626273211495,48.39222565732602
De Westereen,dwe,3.559596955123018,48.50462464914044
Delfzijl,dz,3.639048967507298,48.51518519683256
Delfzijl West,dzw,3.6375142552588553,48.51498150116218
Echt,ec,3.555503602915689,48.28969597708108
Ede-Wageningen,ed,3.531971309701455,48.381977122868896
Ede Centrum,edc,3.5316044779396734,48.383489649401255
Eijsden,edn,3.5410202980701984,48.25656161562498
Eemshaven,eem,3.629958385365078,48.52739891363672
Eygelshoven,egh,3.572280844266559,48.269015951116174
Eygelshoven Markt,eghm,3.573415034615427,48.2696543801349
Eindhoven Airport,ehai,3.508167066125969,48.324492492369004
Eindhoven Beukenlaan,ehb,3.514509461516581,48.32388015825044
Eindhoven Strijp-S,ehs,3.514428669469499,48.32387880357398
Eindhoven Stadion,ehst,3.514604199635585,48.32315390430377
Eindhoven,ehv,3.516559013618081,48.323123762431614
Enkhuizen,ekz,3.4940242287839647,48.44843990038144
Emmerich Grens,emg,3.5769563143507117,48.3702155168968
Ermelo,eml,3.525516227795019,48.40912418315227
Emmen,emn,3.640467046184039,48.46087759945267
Emmen Zuid,emnz,3.638709612647028,48.45669863491042
Erasmus uni. (NS-bus),eras,3.4264712775676958,48.36926704969752
Enschede,es,3.6433985277421463,48.404105730506316
Enschede Drienerlo (oud),esd,3.6385747309174437,48.40542318624345
Enschede De Eschmarke,ese,3.6490104483835912,48.404166158707
Enschede Kennispark,esk,3.638628683821554,48.405424030022786
Elst,est,3.549434640512464,48.37120405583911
Etten-Leur,etn,3.4373536279332786,48.335310769764476
Franeker,fn,3.5158237652785176,48.497098798556934
Vise Grens,fvsg,3.5411788239722095,48.25518947164857
Feanwalden,fwd,3.555392697407714,48.50312711508867
Gramsbergen,gbg,3.6212826359549015,48.44229001017079
Glanerbrug,gbr,3.6510540474363653,48.40400022400085
Gouda,gd,3.442684600186742,48.37952485358754
Gouda Goverwelle,gdg,3.445928936141189,48.37934761511925
Geldermalsen,gdm,3.4954946620355534,48.366781540871116
Gaanderen,gdr,3.5952026540559228,48.373591688229254
Groningen Europapark,gerp,3.6090651546268324,48.50157522178956
Grijpskerk,gk,3.5841893989609255,48.505895094590144
Geleen Oost,gln,3.5527649064228175,48.27633452528809
Groningen,gn,3.6073593873868606,48.50200640909022
Hardinxveld-Giessendam,gnd,3.4551285346376512,48.36098688051881
Groningen Noord,gnn,3.6065742454652305,48.503907978936326
Goor,go,3.615327953836334,48.404113690761164
Geldrop,gp,3.523280548493987,48.32101667365756
Gorinchem,gr,3.4674740868372336,48.36148721467784
Goes,gs,3.3677006305696047,48.32708204011371
Den Haag HS,gv,3.407077242673569,48.3844890460331
Den Haag Centraal,gvc,3.407181806919498,48.385587209128346
Den Haag Mariahoeve,gvm,3.411404023737906,48.386614456962604
Den Haag Moerwijk,gvmw,3.4058319844377682,48.382903387774874
Grou-Jirnsum,gw,3.5410018848422418,48.488350909140465
Gilze-Rijen,gz,3.464154619206578,48.33648526765735
Heemstede-Aerdenhout,had,3.4327215432682574,48.41362421309182
Hoensbroek,hb,3.5612630968253636,48.27034579950919
Hardinxveld Blauwe Zoom,hbzm,3.4528988457854233,48.35972621303577
Harderwijk,hd,3.5258777379322623,48.41279649264133
Hardenberg,hdb,3.617060099255294,48.438377289118236
Harde ('t),hde,3.550565804900398,48.4204384465917
Hurdegaryp,hdg,3.55053385141054,48.50142098506926
Den Helder,hdr,3.44526434464324,48.47349372051144
Den Helder Haven,hdrh,3.4453779056440714,48.47404386117519
Den Helder Zuid,hdrz,3.4456555372177844,48.47110114354243
Hoofddorp,hfd,3.4412150875261225,48.40701475357135
Hengelo,hgl,3.6342386312549393,48.40782637873134
Hengelo Gezondheidspark,hglg,3.632366860499481,48.40770715997497
Hengelo Oost,hglo,3.636667603598803,48.408601267592665
Hoogeveen,hgv,3.6019486768032833,48.454105221674006
Hoogezand-Sappemeer,hgz,3.626372521458356,48.4974186318146
Hillegom,hil,3.4290594397016614,48.40791680539717
Heemskerk,hk,3.4395850570806923,48.427205325329986
Hoogkarspel,hks,3.484447436732169,48.447378791953135
Harlingen,hlg,3.504749190614822,48.49569994323156
Harlingen Haven,hlgh,3.5034754705868956,48.496127832516535
Haarlem,hlm,3.4355231265375408,48.41652177599905
Haarlem Spaarnwoude,hlms,3.438538740266665,48.41604418465512
Heiloo,hlo,3.4407360748674676,48.43777522859652
Helmond,hm,3.5334261825305413,48.32678360844982
Helmond Brouwhuis,hmbh,3.537078792942353,48.32639488722289
Helmond Brandevoort,hmbv,3.5285344682252724,48.325354459875236
Helmond 't Hout,hmh,3.5305742735144277,48.325936512673906
Hemmen-Dodewaard,hmn,3.5326232213701747,48.37139360183417
Hoorn,hn,3.472931857925553,48.442671232337595
Hoorn Kersenboogerd,hnk,3.475654475959783,48.44351756716354
Heino,hno,3.5806874542999836,48.42294195175556
Hindeloopen,hnp,3.5054249503479307,48.47331742475303
Holten,hon,3.599858354737976,48.40908823940404
Hollandsche Rading,hor,3.4858996635684436,48.396173586278465
Heerenveen,hr,3.5500598277361997,48.475595753985154
