from,to,tarif-unit,ix,dist
vb,gvc,3,646,2.8
db,ut,12,647,10.5
zp,vem,4,648,3.7
ust,wfm,3,649,3.0
zdk,pmw,10,650,9.0
asn,hrn,22,651,20.7
mrn,vndw,15,652,11.7
asdz,alm,25,653,23.8
vp,ahpr,3,654,2.6
dvn,zv,5,655,4.5
ndb,hvs,7,656,6.3
nm,ah,19,657,16.0
swk,wv,13,658,12.4
rta,gd,14,659,12.6
rh,dr,6,660,6.3
o,ow,0,661,2.0
amr,amrn,0,662,1.8
klp,ed,7,663,7.1
srn,ec,5,664,4.5
rl,vd,10,665,9.5
gdm,tpsw,10,666,8.4
bde,mt,6,667,5.6
lp,stm,4,668,4.1
mrn,db,8,669,7.6
wp,ndb,9,670,8.5
hlgh,hlg,1,671,1.1
utt,utlr,2,672,1.5
amfs,amf,3,673,3.3
mas,utzl,5,674,5.3
gd,ut,32,675,28.9
ot,btl,9,676,8.6
ledn,laa,15,677,13.6
amfs,avat,3,678,2.9
bd,etn,11,679,10.2
bdg,wd,11,680,10.1
bdg,apn,8,681,7.7
mrb,hdb,8,682,7.9
ledn,gvc,15,683,14.3
bsk,bsks,2,684,1.1
rv,tg,7,685,7.6
kmw,stv,4,686,3.9
bet,ehs,9,687,8.0
ehv,gp,6,688,5.5
amrn,hwd,7,689,4.9
wt,ehv,28,690,26.6
odb,rsd,7,691,7.4
sk,sknd,1,692,1.2
bdpb,bd,5,693,4.3
ass,hwzb,7,694,6.2
hlg,fn,9,695,8.3
ahpr,ahp,2,696,1.7
hgl,hglg,2,697,1.4
utlr,ut,3,698,3.3
ow,rs,12,699,10.6
bgn,rb,16,700,12.2
vem,kbk,5,701,4.7
asb,asdz,6,702,5.9
zv,did,5,703,4.3
tl,ktr,12,704,12.0
klp,ut,34,705,32.0
wfm,bf,5,706,4.6
stm,bdm,7,707,6.6
dv,ost,10,708,9.2
bsks,wadn,2,709,1.4
ampo,almm,3,710,3.8
hgl,esk,4,711,4.1
gd,gvc,27,712,26.9
ec,rm,13,713,13.1
aml,vz,6,714,6.1
pmw,pmr,1,715,1.4
dvc,dv,4,716,3.8
asa,ut,31,717,31.5
gdm,zbm,9,718,8.3
avat,nkk,5,719,5.2
hrl,vk,13,720,10.3
hvs,hvsp,0,721,1.1
wadn,wad,0,722,1.2
dld,stz,7,723,5.0
ut,amf,21,724,19.2
utzl,ut,2,725,2.1
ehv,hm,13,726,13.0
db,bnk,4,727,4.4
hglg,ddn,3,728,3.9
dr,bmn,6,729,5.9
ed,ah,17,730,16.2
sknd,mg,11,731,10.4
vd,zp,12,732,9.4
hdb,gbg,6,733,5.2
zl,wh,14,734,13.1
bkl,wd,19,735,11.7
ndb,bsmz,0,736,1.7
apd,apdo,3,737,2.4
kbk,apdm,8,738,6.4
pmr,pmo,0,739,1.4
lc,go,13,740,12.9
almm,alm,0,741,2.0
wv,hr,11,742,10.8
ehs,ehv,1,743,2.0
hwzb,hlms,5,744,5.0
hwd,obd,6,745,5.8
tpsw,tl,2,746,2.7
esk,es,4,747,3.9
gp,hze,5,748,4.1
amf,apd,42,749,41.3
ut,hvsp,18,750,15.1
did,wl,6,751,6.2
bf,wsm,3,752,3.4
wad,wadt,1,753,1.9
etn,rsd,13,754,12.9
gd,rta,14,755,12.6
zd,cas,17,756,15.9
tg,vl,5,757,3.5
ed,wf,9,758,8.6
hvsp,hor,6,759,4.3
vndw,vndc,0,760,1.5
hgv,bl,14,761,13.8
vz,da,5,762,4.6
apdo,twl,7,763,6.9
bdm,swd,4,764,3.9
ddn,go,10,765,9.6
na,co,11,766,9.8
bsmz,hvsm,6,767,3.2
nkk,pt,7,768,7.3
hvs,dvd,25,769,19.9
pmo,hn,19,770,16.0
rs,hto,7,771,3.8
bd,rtd,43,772,42.4
bnk,utvr,7,773,5.3
ut,asa,31,774,31.5
omn,hdb,19,775,16.0
laa,gv,0,776,1.7
tb,ehv,37,777,30.5
ut,klp,34,778,32.0
ht,o,19,779,18.4
lls,almb,18,780,18.3
fn,drp,6,781,5.8
zbm,ht,13,782,13.3
bmn,zp,7,783,6.8
stz,st,0,784,1.0
stv,kmw,4,785,3.9
o,ht,19,786,18.4
ost,wh,7,787,6.5
wadt,gd,7,788,3.9
hze,mz,10,789,10.0
gbg,co,7,790,7.3
wd,ut,16,791,14.8
hrn,gerp,4,792,3.8
rb,kbd,3,793,3.3
alm,almp,2,794,1.8
rtd,shl,47,795,47.2
hto,ht,0,796,2.0
ktr,op,4,797,3.7
std,hrl,19,798,14.8
hlms,hlm,0,799,2.4
asdz,asb,6,800,5.9
hor,uto,9,801,8.4
hvsm,hvs,1,802,1.5
wsm,swd,5,803,4.5
almp,almb,4,804,3.0
swd,gnn,7,805,6.9
apdm,apd,1,806,2.1
da,vhp,2,807,1.9
hwd,sgn,14,808,12.8
amr,cas,12,809,11.6
hm,dn,9,810,9.1
kmw,hnp,5,811,4.9
ass,hn,39,812,32.0
wf,otb,4,813,3.4
gn,zh,12,814,11.4
op,hmn,3,815,2.5
vk,mes,6,816,5.9
pt,eml,5,817,4.9
wl,dtch,3,818,3.2
hr,akm,11,819,10.6
twl,dv,5,820,4.8
mg,lw,10,821,9.1
vndc,rhn,8,822,7.1
alm,asdz,25,823,23.8
kbd,krg,7,824,6.6
gnd,sdt,4,825,4.0
ehv,wt,28,826,26.6
wh,ost,7,827,6.5
wh,zl,14,828,13.1
vhp,mrb,6,829,5.8
drp,dei,7,830,6.3
obd,hn,11,831,10.7
st,sd,0,832,1.3
go,lc,13,833,12.9
almb,almo,2,834,1.8
co,hdb,13,835,12.4
hlm,bll,3,836,2.0
rta,rtd,10,837,6.5
hmn,za,3,838,3.4
