from,to,tarif-unit,ix
bkl,mas,5,641
btl,bet,10,642
apn,bsk,6,643
hnp,kmw,5,644
amf,hvs,16,645
mp,hgv,20,646
cvm,egh,2,647
nmgo,nm,3,648
nml,nm,0,649
vtn,utt,2,650
hlm,ass,12,651
zvb,odb,8,652
amf,ut,21,653
avat,amfs,3,654
asd,asa,6,655
ovn,hlm,2,656
wp,ampo,9,657
ed,klp,7,658
amf,amfs,3,659
asdz,alm,25,660
zdk,pmw,10,661
zp,vem,4,662
vb,gvc,3,663
vp,ahpr,3,664
ust,wfm,3,665
ndb,hvs,7,666
db,ut,12,667
mrn,vndw,15,668
asn,hrn,22,669
dvn,zv,5,670
nm,ah,19,671
rh,dr,6,672
srn,ec,5,673
rl,vd,10,674
amr,amrn,0,675
mrn,db,8,676
lp,stm,4,677
o,ow,0,678
egh,lg,2,679
wp,ndb,9,680
klp,ed,7,681
swk,wv,13,682
gdm,tpsw,10,683
bde,mt,6,684
rta,gd,14,685
mas,utzl,5,686
hlgh,hlg,1,687
bp,dwe,7,688
utt,utlr,2,689
ot,btl,9,690
amfs,amf,3,691
gd,ut,32,692
bsk,bsks,2,693
ledn,gvc,15,694
bdg,apn,8,695
ledn,laa,15,696
mrb,hdb,8,697
amfs,avat,3,698
rv,tg,7,699
bet,ehs,9,700
kmw,stv,4,701
bd,etn,11,702
bdg,wd,11,703
ahpr,ahp,2,704
ehv,gp,6,705
bp,gk,11,706
sk,sknd,1,707
vem,kbk,5,708
hlg,fn,9,709
ass,hwzb,7,710
bdpb,bd,5,711
asb,asdz,6,712
odb,rsd,7,713
wt,ehv,28,714
ow,rs,12,715
utlr,ut,3,716
bgn,rb,16,717
hgl,hglg,2,718
amrn,hwd,7,719
gd,gvc,27,720
ec,rm,13,721
tl,ktr,12,722
hgl,esk,4,723
wfm,bf,5,724
bsks,wadn,2,725
lg,hrl,3,726
stm,bdm,7,727
klp,ut,34,728
dv,ost,10,729
ampo,almm,3,730
zv,did,5,731
gdm,zbm,9,732
aml,vz,6,733
std,gln,4,734
hrl,vk,13,735
pmw,pmr,1,736
dvc,dv,4,737
asa,ut,31,738
avat,nkk,5,739
hglg,ddn,3,740
ut,amf,21,741
dld,stz,7,742
wadn,wad,0,743
ehv,hm,13,744
hvs,hvsp,0,745
ed,ah,17,746
db,bnk,4,747
utzl,ut,2,748
dr,bmn,6,749
dwe,fwd,3,750
ndb,bsmz,0,751
zl,wh,14,752
bkl,wd,19,753
apd,apdo,3,754
vd,zp,12,755
hdb,gbg,6,756
sknd,mg,11,757
tpsw,tl,2,758
wv,hr,11,759
esk,es,4,760
ehs,ehv,1,761
gp,hze,5,762
pmr,pmo,0,763
kbk,apdm,8,764
almm,alm,0,765
lc,go,13,766
hwzb,hlms,5,767
hwd,obd,6,768
amf,apd,42,769
wad,wadt,1,770
ed,wf,9,771
bf,wsm,3,772
vndw,vndc,0,773
gd,rta,14,774
tg,vl,5,775
did,wl,6,776
hvsp,hor,6,777
ut,hvsp,18,778
gln,sbk,3,779
zd,cas,17,780
hgv,bl,14,781
etn,rsd,13,782
omn,hdb,19,783
hvs,dvd,25,784
apdo,twl,7,785
bnk,utvr,7,786
rs,hto,7,787
bdm,swd,4,788
gk,zh,7,789
na,co,11,790
bd,rtd,43,791
bsmz,hvsm,6,792
vz,da,5,793
pmo,hn,19,794
nkk,pt,7,795
ddn,go,10,796
ut,asa,31,797
bmn,zp,7,798
ut,klp,34,799
tb,ehv,37,800
fn,drp,6,801
stz,st,0,802
fwd,hdg,4,803
lls,almb,18,804
zbm,ht,13,805
stv,kmw,4,806
ht,o,19,807
laa,gv,0,808
wadt,gd,7,809
ost,wh,7,810
gbg,co,7,811
hze,mz,10,812
sbk,sn,2,813
alm,almp,2,814
hrn,gerp,4,815
wd,ut,16,816
rb,kbd,3,817
o,ht,19,818
ktr,op,4,819
rtd,shl,47,820
hto,ht,0,821
std,hrl,19,822
asdz,asb,6,823
wsm,swd,5,824
hor,uto,9,825
hlms,hlm,0,826
hvsm,hvs,1,827
da,vhp,2,828
apdm,apd,1,829
hwd,sgn,14,830
almp,almb,4,831
amr,cas,12,832
swd,gnn,7,833
kmw,hnp,5,834
hm,dn,9,835
wf,otb,4,836
sn,nh,3,837
ass,hn,39,838
twl,dv,5,839
vk,mes,6,840
pt,eml,5,841
op,hmn,3,842
hdg,lwc,7,843
vndc,rhn,8,844
kbd,krg,7,845
hr,akm,11,846
wl,dtch,3,847
mg,lw,10,848
alm,asdz,25,849
ehv,wt,28,850
wh,zl,14,851
drp,dei,7,852
wh,ost,7,853
vhp,mrb,6,854
zh,gn,12,855
gnd,sdt,4,856
nh,hb,3,857
rta,rtd,10,858
obd,hn,11,859
almb,almo,2,860
co,hdb,13,861
hlm,bll,3,862
st,sd,0,863
go,lc,13,864
bl,asn,16,865
dtch,dtc,2,866
zp,vd,12,867
asb,ut,27,868
hmn,za,3,869
otb,ah,4,870
hnp,wk,4,871
mz,wt,7,872
alm,lls,24,873
gnn,gn,4,874
eml,hd,4,875
mes,mt,5,876
rm,ec,13,877
hb,hrl,4,878
hdb,co,13,879
co,dln,4,880
sd,brn,5,881
lwc,lw,3,882
krg,bzl,6,883
dei,lw,4,884
amf,zl,66,885
bll,sptz,2,886
dt,sdm,10,887
dn,hrt,18,888
ehv,hmbv,10,889
apd,apdm,1,890
o,nm,24,891
ost,dv,10,892
akm,gw,5,893
sgn,ana,9,894
za,est,11,895
almb,alm,6,896
dv,dvc,4,897
dtc,gdr,5,898
sptz,sptn,2,899
ddr,rsd,38,900
hn,hnk,0,901
dln,na,7,902
ah,est,11,903
hd,ns,12,904
wk,ijt,13,905
apdm,kbk,8,906
lc,zp,17,907
almo,lls,16,908
zl,rat,18,909
ht,ehv,32,910
hvs,asd,30,911
dvd,asdz,4,912
sptn,drh,0,913
bzl,gs,5,914
asa,asd,6,915
dvc,hon,15,916
vd,rl,10,917
ah,dr,16,918
vs,mdb,6,919
gw,lw,13,920
gdr,tbg,1,921
ec,srn,5,922
hvs,ndb,7,923
hmbv,hmh,3,924
gn,bp,30,925
alm,dvd,21,926
drh,bv,6,927
tbg,vsv,7,928
lw,bp,24,929
kbk,vem,5,930
est,za,11,931
cas,bv,10,932
zl,asn,78,933
hmh,hm,0,934
ns,hde,9,935
est,ah,11,936
na,emnz,5,937
ana,hdrz,12,938
hvs,brn,7,939
srn,std,7,940
gs,arn,15,941
dv,zp,16,942
mdb,gs,19,943
hrt,br,10,944
db,ed,29,945
wt,rm,24,946
ijt,sk,3,947
apd,dv,15,948
lls,zl,42,949
bv,hk,3,950
hm,hmbh,0,951
emnz,emn,4,952
gn,asn,28,953
rl,ltv,13,954
vem,zp,4,955
ndb,ampo,7,956
aml,nvd,13,957
hde,wz,9,958
hk,utg,3,959
vsv,atn,9,960
hon,rsn,7,961
hmbh,dn,9,962
hdrz,hdr,0,963
brn,amf,9,964
hvsp,uto,15,965
shl,asd,19,966
dr,zp,13,967
bv,hlm,13,968
za,hmn,3,969
arn,mdb,4,970
hgz,zb,8,971
hdb,omn,19,972
rsn,wdn,8,973
hmn,op,3,974
gs,bgn,37,975
wz,zl,9,976
ltv,www,9,977
zp,dr,13,978
bp,lw,24,979
op,ktr,4,980
nvd,aml,13,981
co,na,11,982
bp,gn,30,983
mdb,vss,6,984
atn,ww,12,985
hnk,hks,10,986
dv,aml,39,987
dvd,alm,21,988
rm,std,25,989
ktr,tl,12,990
vss,vs,0,991
asn,zl,78,992
www,ww,1,993
hks,bkg,4,994
dr,ah,16,995
rat,zl,18,996
aml,hgl,14,997
swk,hr,24,998
bkg,bkf,0,999
std,mt,21,1000
bkf,ekz,4,1001
alm,almb,6,1002
zl,swk,42,1003
hgl,es,8,1004
almb,lls,18,1005
hr,lw,29,1006
asn,gn,28,1007
ddr,bd,30,1008
nsch,ws,12,1009
bd,ddr,30,1010
cas,amr,12,1011
ut,utm,18,1012
utm,ut,18,1013
rd,eem,7,1014
eem,rd,7,1015
htnc,ut,8,1016
hlm,bv,13,1017
bv,cas,10,1018
bgn,gs,37,1019
gs,mdb,19,1020
mdb,vs,6,1021
klp,db,22,1022
asb,asa,4,1023
asa,asb,4,1024
ws,nsch,12,1025
rtd,ddr,20,1026
amf,nkk,11,1027
est,nm,8,1028
nkk,hd,16,1029
hd,zl,39,1030
nm,est,8,1031
htn,cl,10,1032
rd,wfm,14,1033
asd,asb,10,1034
asb,asd,10,1035
ed,ut,41,1036
gv,ledn,15,1037
wfm,wsm,8,1038
ddr,rtd,20,1039
hlm,asd,16,1040
asd,hlm,16,1041
asd,ut,37,1042
