full-name,short-name,lon,lat
Bergen op Zoom,bgn,48.327006231583916,3.4056091093628593
Boven-Hardinxveld,bhdv,48.36123435535124,3.458530395061714
Bentheim Grens,bhg,48.41335654220942,3.6564089465365432
Bilthoven,bhv,48.39137223550896,3.488377404507501
Beek-Elsloo,bk,48.27418012054024,3.547433298873135
Bovenkarspel Flora,bkf,48.448054123085264,3.490878175304668
Bovenkarspel-Grootebroek,bkg,48.447929012227725,3.489329583981246
Breukelen,bkl,48.39522980884671,3.468529429004219
Beilen,bl,48.466348935197175,3.605628394178326
Bloemendaal,bll,48.41810232271653,3.434434909830782
Brummen,bmn,48.389253734931934,3.575681445803987
Boxmeer,bmr,48.34413664045997,3.5586047530861893
Borne,bn,48.411316292383034,3.6298770820138038
Barneveld Centrum,bnc,48.393057404470056,3.523906552693955
Bunnik,bnk,48.384731135310794,3.487822181509311
Barneveld Noord,bnn,48.39510111542701,3.52467984018066
Barneveld Zuid,bnz,48.3919097345722,3.5251369903681016
Buitenpost,bp,48.50560932705831,3.569297274932815
Blerick,br,48.31740430988739,3.580133097552591
Barendrecht,brd,48.363134539945435,3.428803669658348
Baarn,brn,48.39931630540273,3.4952927333107287
Beesd,bsd,48.36834888372445,3.4883008320590787
Boskoop,bsk,48.38538389519051,3.4370181519222887
Boskoop Snijdelwijk,bsks,48.38449323541743,3.4369587322584265
Bussum Zuid,bsmz,48.404868797165356,3.4841221673045726
Boxtel,btl,48.33710414252574,3.5009782306751793
Beverwijk,bv,48.425548979240645,3.436841801370707
Kapelle-Biezelinge,bzl,48.325333908022614,3.3739026616457513
Castricum,cas,48.43228329950496,3.4370493212351136
Cuijk,ck,48.35228791608911,3.5521031070083486
Culemborg,cl,48.3731236783292,3.491139276998096
Coevorden,co,48.44771727198351,3.6263974646960904
Capelle Schollevaar,cps,48.37310257012819,3.4315124028995507
Chevremont,cvm,48.267672844538204,3.573675670454855
Daarlerveen,da,48.425105776311995,3.6131328228623163
Driebergen-Zeist,db,48.385002403147496,3.4937476255057494
Delden,ddn,48.40741621637275,3.6270056577927083
Dordrecht,ddr,48.35853528667883,3.4396910097418534
Dordrecht Stadspolders,ddrs,48.35803845705653,3.444186968466665
Dordrecht Zuid,ddzd,48.356789382955654,3.4400561262937783
Deinum,dei,48.49804271533068,3.5320406042204633
Didam,did,48.373420084143284,3.5750860912395765
Dalfsen,dl,48.430127051315786,3.583801134384789
Den Dolder,dld,48.392463766495574,3.4918032026441477
Dalen,dln,48.45091769763933,3.6282018203827358
Diemen,dmn,48.41263493497253,3.4658580600506568
Diemen Zuid,dmnz,48.41110841789174,3.464877902859681
Driemanspolder,dmp,48.38242615037914,3.4215534666199283
Deurne,dn,48.3250666614697,3.545333972275876
Drunen (NS-bus),dnw,47.97476748339615,3.313542365310774
Dieren,dr,48.384464589350316,3.571822773202207
Driehuis,drh,48.422038349938184,3.435467881768375
Dronten,dron,48.432616267672266,3.5343289821674944
Dronryp,drp,48.49678006655313,3.5236509218780876
Delft,dt,48.378157624779924,3.410337959434492
Doetinchem,dtc,48.37628680792926,3.590128303925684
Doetinchem De Huet,dtch,48.376259512595055,3.586757325668592
Delft Zuid,dtz,48.37658981554505,3.411115313890912
Deventer,dv,48.40580243534653,3.576035064617735
Deventer Colmschate,dvc,48.40526415855331,3.581088655640058
Duivendrecht,dvd,48.410394837542626,3.4630969069672908
Duiven,dvn,48.3741583051821,3.564120894285677
De Vink,dvnk,48.39222565732602,3.4192626273211495
De Westereen,dwe,48.50462464914044,3.559596955123018
Delfzijl,dz,48.51518519683256,3.639048967507298
